epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2207,1.00815,4.6625,1.16658,0,0,0,0,0.45905,4.65919,0.8961,5.44823e-05,5.44823e-05,5.44823e-05
2,106.284,0.65943,4.40708,1.01049,0.01255,0.11628,0.04695,0.04376,0.49266,4.46849,0.85282,0.000107968,0.000107968,0.000107968
3,152.685,0.60148,4.09375,0.99797,0.02023,0.64961,0.07017,0.06667,0.39204,3.95227,0.86412,0.000159249,0.000159249,0.000159249
4,197.679,0.57586,3.81321,0.99574,0.4329,0.22403,0.08297,0.07569,0.41586,3.59028,0.88797,0.00015708,0.00015708,0.00015708
5,239.786,0.55939,3.66281,0.99436,0.62956,0.21008,0.1487,0.13647,0.40688,3.29285,0.89505,0.000153774,0.000153774,0.000153774
6,284.462,0.53142,3.41069,0.99011,0.64799,0.20165,0.19215,0.18162,0.37877,3.10249,0.88196,0.000150467,0.000150467,0.000150467
7,332.076,0.51019,3.1542,0.96269,0.5516,0.19079,0.23354,0.21743,0.35114,2.85082,0.87562,0.00014716,0.00014716,0.00014716
8,393.352,0.50072,2.92006,0.98041,0.53756,0.26628,0.2699,0.25396,0.36438,2.78344,0.89561,0.000143854,0.000143854,0.000143854
9,440.645,0.47737,2.93485,0.97142,0.5218,0.34213,0.31283,0.29161,0.37039,2.93074,0.91577,0.000140547,0.000140547,0.000140547
10,489.499,0.4873,2.81303,0.98632,0.6405,0.34103,0.37399,0.35797,0.35101,2.64999,0.89381,0.000137241,0.000137241,0.000137241
11,537.34,0.48413,2.57859,0.98383,0.64419,0.35838,0.41292,0.39389,0.33213,2.50574,0.88451,0.000133934,0.000133934,0.000133934
12,586.663,0.46283,2.54595,0.96576,0.62216,0.39677,0.40939,0.39161,0.33118,2.47793,0.87667,0.000130627,0.000130627,0.000130627
13,634.365,0.47856,2.56524,0.97166,0.63836,0.42339,0.48776,0.46371,0.32013,2.27691,0.87286,0.000127321,0.000127321,0.000127321
14,684.206,0.47586,2.38572,0.96818,0.65413,0.40633,0.49989,0.47461,0.3153,2.19583,0.86754,0.000124014,0.000124014,0.000124014
15,733.887,0.42407,2.25812,0.93616,0.75168,0.3876,0.53061,0.50709,0.32503,2.05734,0.8721,0.000120708,0.000120708,0.000120708
16,791.828,0.44219,2.30357,0.95366,0.64454,0.46293,0.56026,0.53528,0.32318,2.0926,0.87486,0.000117401,0.000117401,0.000117401
17,849.242,0.46187,2.19252,0.96971,0.75044,0.5005,0.62548,0.59399,0.32311,2.04099,0.87104,0.000114094,0.000114094,0.000114094
18,908.044,0.41828,2.05782,0.92776,0.76113,0.57652,0.66798,0.63945,0.30898,1.84283,0.86099,0.000110788,0.000110788,0.000110788
19,965.601,0.41784,1.98822,0.93712,0.76915,0.5696,0.66492,0.64194,0.30715,1.77716,0.85309,0.000107481,0.000107481,0.000107481
20,1019.09,0.4012,1.99232,0.92855,0.80323,0.56813,0.69524,0.66543,0.31069,1.75362,0.85833,0.000104175,0.000104175,0.000104175
21,1074.71,0.38681,1.94759,0.90553,0.84577,0.55533,0.68074,0.65204,0.3094,1.7807,0.85785,0.000100868,0.000100868,0.000100868
22,1128.51,0.4012,1.82029,0.9282,0.84638,0.55144,0.68828,0.65878,0.31573,1.66085,0.86413,9.75614e-05,9.75614e-05,9.75614e-05
23,1180.19,0.4142,1.82962,0.94797,0.69171,0.65451,0.69547,0.66844,0.30453,1.64544,0.85988,9.42548e-05,9.42548e-05,9.42548e-05
24,1237.33,0.38171,1.7326,0.91057,0.84626,0.59449,0.72226,0.6878,0.31586,1.64274,0.86242,9.09482e-05,9.09482e-05,9.09482e-05
25,1293.79,0.40098,1.78329,0.92759,0.8245,0.60765,0.73215,0.70369,0.30808,1.58578,0.86098,8.76416e-05,8.76416e-05,8.76416e-05
26,1345.02,0.38697,1.69072,0.90687,0.80339,0.62906,0.73902,0.70959,0.30588,1.56283,0.86105,8.4335e-05,8.4335e-05,8.4335e-05
27,1399.98,0.38982,1.67676,0.90617,0.83994,0.59541,0.73545,0.70594,0.29759,1.57278,0.85576,8.10284e-05,8.10284e-05,8.10284e-05
28,1455.71,0.38801,1.64869,0.91752,0.8416,0.63399,0.749,0.71244,0.29656,1.51799,0.85115,7.77218e-05,7.77218e-05,7.77218e-05
29,1512.16,0.39125,1.59335,0.91181,0.76379,0.69537,0.76901,0.73489,0.29986,1.45358,0.85135,7.44152e-05,7.44152e-05,7.44152e-05
30,1562.59,0.37983,1.51635,0.90776,0.79048,0.71488,0.78817,0.75508,0.29851,1.42823,0.84986,7.11086e-05,7.11086e-05,7.11086e-05
31,1613.98,0.40799,1.5741,0.92774,0.79607,0.68978,0.76963,0.74052,0.28915,1.41544,0.84387,6.7802e-05,6.7802e-05,6.7802e-05
32,1666.91,0.38635,1.56284,0.92542,0.78978,0.68282,0.7657,0.73851,0.28363,1.42494,0.84188,6.44954e-05,6.44954e-05,6.44954e-05
33,1718.91,0.35662,1.43351,0.89333,0.82069,0.67383,0.78289,0.75607,0.29041,1.39842,0.84283,6.11888e-05,6.11888e-05,6.11888e-05
34,1771.64,0.36719,1.44423,0.90277,0.8004,0.70288,0.78968,0.76296,0.29069,1.35902,0.84118,5.78822e-05,5.78822e-05,5.78822e-05
35,1826.24,0.37273,1.47831,0.9151,0.84454,0.71417,0.81565,0.78627,0.28957,1.33606,0.84074,5.45756e-05,5.45756e-05,5.45756e-05
36,1879,0.3688,1.44823,0.89638,0.88481,0.68683,0.82016,0.78972,0.29805,1.33729,0.84484,5.1269e-05,5.1269e-05,5.1269e-05
37,1928.01,0.38139,1.4146,0.90971,0.8174,0.74289,0.83292,0.80183,0.29561,1.32159,0.8436,4.79624e-05,4.79624e-05,4.79624e-05
38,1978.79,0.35619,1.37436,0.89,0.85915,0.72406,0.82792,0.79877,0.28928,1.30471,0.84068,4.46558e-05,4.46558e-05,4.46558e-05
39,2028.61,0.34521,1.3487,0.8829,0.8556,0.73607,0.83293,0.80503,0.2843,1.28881,0.83897,4.13492e-05,4.13492e-05,4.13492e-05
40,2080.78,0.35375,1.36565,0.8934,0.87479,0.71119,0.83682,0.80562,0.2838,1.27284,0.83774,3.80426e-05,3.80426e-05,3.80426e-05
41,2131.16,0.2942,1.48828,0.85782,0.82291,0.74553,0.8447,0.80787,0.28815,1.29137,0.83694,3.4736e-05,3.4736e-05,3.4736e-05
42,2182.22,0.2926,1.49362,0.85518,0.8221,0.74304,0.85696,0.82238,0.2901,1.30627,0.83352,3.14294e-05,3.14294e-05,3.14294e-05
43,2231.97,0.28836,1.50473,0.85975,0.86181,0.71917,0.86175,0.83054,0.28801,1.29416,0.83597,2.81228e-05,2.81228e-05,2.81228e-05
44,2281.42,0.299,1.53767,0.85968,0.84134,0.73871,0.84569,0.81725,0.28902,1.28159,0.83687,2.48162e-05,2.48162e-05,2.48162e-05
45,2331.04,0.28099,1.43459,0.8561,0.87003,0.73675,0.85257,0.82234,0.28574,1.26211,0.83666,2.15096e-05,2.15096e-05,2.15096e-05
46,2385.73,0.27262,1.38141,0.85069,0.88296,0.74623,0.86552,0.83572,0.28027,1.25951,0.83399,1.8203e-05,1.8203e-05,1.8203e-05
47,2442.94,0.27214,1.37839,0.84082,0.89595,0.74723,0.86639,0.83674,0.2794,1.25594,0.83162,1.48964e-05,1.48964e-05,1.48964e-05
48,2500.1,0.27392,1.42116,0.83498,0.9122,0.72548,0.85116,0.82439,0.28096,1.26042,0.83199,1.15898e-05,1.15898e-05,1.15898e-05
49,2557.61,0.26543,1.36757,0.83761,0.92247,0.722,0.85502,0.82802,0.28057,1.24768,0.8313,8.2832e-06,8.2832e-06,8.2832e-06
50,2612.64,0.27016,1.39925,0.84398,0.90096,0.74395,0.86974,0.84144,0.27976,1.23885,0.83057,4.9766e-06,4.9766e-06,4.9766e-06
