epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8891,0.93909,4.51639,1.23877,0.40435,0.14947,0.09012,0.07682,0.58766,3.56903,0.92372,5.344e-05,5.344e-05,5.344e-05
2,190.819,0.71753,2.5745,1.12261,0.43824,0.40393,0.46348,0.42112,0.40312,2.28655,0.87945,0.000108444,0.000108444,0.000108444
3,293.613,0.61162,1.70394,1.04781,0.60678,0.52744,0.60021,0.55135,0.38652,1.48041,0.85823,0.000163021,0.000163021,0.000163021
4,413.825,0.53189,1.28717,0.98685,0.79704,0.33334,0.35991,0.34441,0.36342,1.16147,0.84462,0.000165536,0.000165536,0.000165536
5,559.493,0.52494,1.08984,0.98814,0.77591,0.31497,0.32916,0.3139,0.37657,0.97308,0.84576,0.000164403,0.000164403,0.000164403
6,685.413,0.48066,0.90123,0.95657,0.91607,0.3194,0.36353,0.3521,0.30811,0.74936,0.82729,0.000162954,0.000162954,0.000162954
7,813.776,0.46521,0.80073,0.94481,0.88571,0.31267,0.32936,0.31929,0.29536,0.65255,0.8192,0.000161195,0.000161195,0.000161195
8,966.287,0.45052,0.72917,0.93874,0.94828,0.49317,0.51758,0.50167,0.30062,0.54383,0.82028,0.000159133,0.000159133,0.000159133
9,1096.72,0.42964,0.66326,0.93411,0.96098,0.57359,0.59964,0.58802,0.27904,0.4827,0.81491,0.000156775,0.000156775,0.000156775
10,1230.54,0.42745,0.63678,0.93847,0.91977,0.86781,0.89238,0.86685,0.29346,0.4897,0.82192,0.000154131,0.000154131,0.000154131
11,1364.55,0.40656,0.59499,0.91611,0.89933,0.77467,0.78382,0.76011,0.28728,0.46411,0.81736,0.000151212,0.000151212,0.000151212
12,1497.59,0.40185,0.57641,0.92205,0.96637,0.73153,0.73943,0.71643,0.29027,0.39342,0.81476,0.000148029,0.000148029,0.000148029
13,1638.87,0.39751,0.53951,0.91325,0.92375,0.9827,0.99216,0.95915,0.3071,0.39034,0.81808,0.000144595,0.000144595,0.000144595
14,1775.28,0.38633,0.52407,0.90783,0.93259,0.80534,0.83298,0.80517,0.29468,0.36864,0.81808,0.000140923,0.000140923,0.000140923
15,1894.82,0.38482,0.52454,0.92178,0.93322,0.98164,0.9927,0.97156,0.26365,0.3698,0.80573,0.000137028,0.000137028,0.000137028
16,2001.18,0.36639,0.48581,0.89693,0.92907,0.98546,0.99194,0.95728,0.29344,0.34996,0.81908,0.000132924,0.000132924,0.000132924
17,2105.34,0.38047,0.49422,0.91955,0.94369,0.99222,0.99215,0.9757,0.25544,0.33393,0.80351,0.000128629,0.000128629,0.000128629
18,2206.34,0.36228,0.47505,0.90546,0.92106,0.99238,0.99071,0.96869,0.24589,0.31407,0.80487,0.000124159,0.000124159,0.000124159
19,2312.77,0.37147,0.46437,0.91003,0.92958,0.9814,0.98996,0.96874,0.25637,0.32189,0.80249,0.000119532,0.000119532,0.000119532
20,2414.57,0.34321,0.43698,0.88863,0.96264,0.96221,0.99214,0.97281,0.25155,0.30825,0.80306,0.000114766,0.000114766,0.000114766
21,2515.66,0.34261,0.42391,0.8886,0.94208,0.98613,0.99199,0.97657,0.24569,0.30233,0.8014,0.00010988,0.00010988,0.00010988
22,2615.68,0.34058,0.42007,0.90103,0.95478,0.97477,0.99223,0.97776,0.23829,0.28441,0.8037,0.000104893,0.000104893,0.000104893
23,2723.12,0.35117,0.42582,0.89906,0.96384,0.99099,0.99199,0.97202,0.26502,0.28922,0.80742,9.98249e-05,9.98249e-05,9.98249e-05
24,2827.47,0.3233,0.40411,0.88607,0.96501,0.98676,0.99105,0.97634,0.22203,0.27376,0.79523,9.46957e-05,9.46957e-05,9.46957e-05
25,2927.21,0.31946,0.38937,0.8813,0.94951,0.99113,0.99165,0.98425,0.21514,0.27066,0.79577,8.95256e-05,8.95256e-05,8.95256e-05
26,3029.19,0.32365,0.3745,0.88085,0.95011,0.98794,0.99269,0.97852,0.21883,0.26236,0.79426,8.4335e-05,8.4335e-05,8.4335e-05
27,3130.45,0.31905,0.38182,0.88649,0.95238,0.9931,0.99415,0.98581,0.21407,0.25163,0.79303,7.91444e-05,7.91444e-05,7.91444e-05
28,3228.5,0.30301,0.36531,0.87521,0.97675,0.99116,0.99475,0.99067,0.20407,0.23903,0.79142,7.39743e-05,7.39743e-05,7.39743e-05
29,3333.45,0.31002,0.36562,0.87852,0.96279,0.99602,0.99347,0.98113,0.23094,0.24993,0.79868,6.88451e-05,6.88451e-05,6.88451e-05
30,3433.1,0.30814,0.37274,0.87797,0.9705,0.98965,0.99364,0.98493,0.20928,0.24036,0.79278,6.37771e-05,6.37771e-05,6.37771e-05
31,3531.3,0.29884,0.35335,0.87236,0.96828,0.98365,0.9933,0.98446,0.20273,0.23381,0.78959,5.87901e-05,5.87901e-05,5.87901e-05
32,3634.09,0.2962,0.35276,0.8726,0.96403,0.9883,0.99325,0.98882,0.19857,0.23056,0.7891,5.3904e-05,5.3904e-05,5.3904e-05
33,3737.93,0.28503,0.34151,0.87736,0.9741,0.98632,0.99436,0.98599,0.20775,0.22963,0.79333,4.9138e-05,4.9138e-05,4.9138e-05
34,3836.52,0.28589,0.33992,0.86708,0.97047,0.98634,0.99376,0.98843,0.19687,0.22781,0.79059,4.45108e-05,4.45108e-05,4.45108e-05
35,3941.78,0.27551,0.33089,0.86906,0.96953,0.98247,0.99427,0.99055,0.19057,0.21944,0.78784,4.00409e-05,4.00409e-05,4.00409e-05
36,4046.39,0.26766,0.32068,0.85611,0.97214,0.98866,0.9943,0.98802,0.19801,0.21466,0.78901,3.57457e-05,3.57457e-05,3.57457e-05
37,4148.94,0.2728,0.31476,0.86254,0.97679,0.98826,0.9945,0.99028,0.18442,0.21319,0.78716,3.16423e-05,3.16423e-05,3.16423e-05
38,4263.62,0.26748,0.31996,0.86547,0.97792,0.98783,0.9945,0.98842,0.18573,0.20806,0.7862,2.77469e-05,2.77469e-05,2.77469e-05
39,4378.57,0.27331,0.33213,0.86704,0.97567,0.98778,0.99452,0.99006,0.17628,0.2055,0.78484,2.40748e-05,2.40748e-05,2.40748e-05
40,4484.92,0.2615,0.31884,0.85776,0.97713,0.98329,0.99467,0.98842,0.19506,0.21125,0.78791,2.06405e-05,2.06405e-05,2.06405e-05
41,4610.13,0.21839,0.25303,0.82258,0.97398,0.98372,0.99467,0.98805,0.18084,0.20568,0.78622,1.74576e-05,1.74576e-05,1.74576e-05
