epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.188,0.88273,4.63886,1.04089,0,0,0,0,0.48572,4.48282,0.84346,5.44823e-05,5.44823e-05,5.44823e-05
2,54.8465,0.64808,4.3431,0.94482,0.01938,0.01005,0.01441,0.01297,0.42832,4.29519,0.81251,0.000107968,0.000107968,0.000107968
3,83.199,0.588,4.03949,0.93517,0.02627,0.57481,0.07826,0.07367,0.38226,3.78892,0.81449,0.000159249,0.000159249,0.000159249
4,114.198,0.58613,3.75028,0.94181,0.02167,0.82868,0.07903,0.07376,0.39461,3.36978,0.82851,0.00015708,0.00015708,0.00015708
5,143.911,0.5715,3.53522,0.94013,0.84724,0.06473,0.12163,0.1165,0.36403,3.18086,0.81675,0.000153774,0.000153774,0.000153774
6,171.056,0.54491,3.30436,0.94151,0.74096,0.14734,0.18265,0.17332,0.3632,3.09052,0.8157,0.000150467,0.000150467,0.000150467
7,205.557,0.53447,3.14469,0.93246,0.64435,0.1669,0.18154,0.1725,0.35403,3.01419,0.8134,0.00014716,0.00014716,0.00014716
8,238.649,0.50828,2.91311,0.92873,0.72776,0.21124,0.2203,0.20952,0.34121,2.79605,0.81064,0.000143854,0.000143854,0.000143854
9,271.36,0.48944,2.80322,0.92212,0.77664,0.20034,0.27087,0.25477,0.33833,2.57806,0.81443,0.000140547,0.000140547,0.000140547
10,303.474,0.49128,2.68239,0.93033,0.5697,0.31609,0.34688,0.32278,0.32358,2.47166,0.81697,0.000137241,0.000137241,0.000137241
11,335.79,0.49791,2.51663,0.94518,0.59983,0.352,0.38855,0.36377,0.32275,2.40988,0.822,0.000133934,0.000133934,0.000133934
12,367.425,0.47821,2.41461,0.9259,0.58517,0.41276,0.3761,0.34626,0.32598,2.26675,0.8313,0.000130627,0.000130627,0.000130627
13,401.077,0.48173,2.3573,0.93561,0.65015,0.32707,0.40131,0.37274,0.32124,2.0974,0.84316,0.000127321,0.000127321,0.000127321
14,432.174,0.48102,2.26011,0.93474,0.60185,0.41195,0.43544,0.40592,0.31135,2.0023,0.83931,0.000124014,0.000124014,0.000124014
15,465.539,0.43935,2.10316,0.91747,0.63547,0.46218,0.46285,0.43606,0.32641,1.92769,0.84074,0.000120708,0.000120708,0.000120708
16,497.773,0.45036,2.17604,0.9159,0.67231,0.44969,0.48168,0.45444,0.31977,1.88712,0.8376,0.000117401,0.000117401,0.000117401
17,531.005,0.45694,2.01544,0.92059,0.67324,0.48097,0.5185,0.49393,0.3012,1.7938,0.83285,0.000114094,0.000114094,0.000114094
18,566.65,0.42855,1.90276,0.90347,0.77891,0.47906,0.56994,0.54585,0.30512,1.73015,0.83631,0.000110788,0.000110788,0.000110788
19,604.506,0.43166,1.85469,0.92702,0.75065,0.51577,0.58729,0.56239,0.31358,1.71508,0.84199,0.000107481,0.000107481,0.000107481
20,643.014,0.40933,1.83856,0.9029,0.79808,0.47502,0.61033,0.5794,0.30611,1.63356,0.84023,0.000104175,0.000104175,0.000104175
21,680.563,0.40917,1.7835,0.90096,0.7834,0.53209,0.63149,0.59694,0.31071,1.57556,0.84215,0.000100868,0.000100868,0.000100868
22,715.155,0.42156,1.67206,0.91682,0.82556,0.53281,0.6633,0.62501,0.31466,1.48508,0.83948,9.75614e-05,9.75614e-05,9.75614e-05
23,749.927,0.42745,1.66997,0.92057,0.81568,0.55243,0.68583,0.65356,0.3131,1.46514,0.83545,9.42548e-05,9.42548e-05,9.42548e-05
24,789.006,0.40002,1.63336,0.89111,0.79079,0.57242,0.69662,0.65042,0.31348,1.47187,0.8369,9.09482e-05,9.09482e-05,9.09482e-05
25,824.137,0.41011,1.64087,0.90951,0.73225,0.63167,0.71259,0.66776,0.31958,1.43867,0.83955,8.76416e-05,8.76416e-05,8.76416e-05
26,861.423,0.40348,1.62838,0.8957,0.83727,0.5804,0.6957,0.65719,0.31329,1.37834,0.8342,8.4335e-05,8.4335e-05,8.4335e-05
27,900.22,0.4108,1.63417,0.90296,0.86212,0.58202,0.70488,0.66556,0.31903,1.35831,0.83361,8.10284e-05,8.10284e-05,8.10284e-05
28,936.475,0.41,1.54844,0.90571,0.86339,0.58955,0.71479,0.67948,0.31535,1.34993,0.83366,7.77218e-05,7.77218e-05,7.77218e-05
29,976.282,0.41723,1.48134,0.90677,0.80936,0.63766,0.72578,0.69272,0.31546,1.34723,0.83367,7.44152e-05,7.44152e-05,7.44152e-05
30,1013.2,0.39662,1.47298,0.89924,0.84075,0.62785,0.74249,0.7139,0.30534,1.27937,0.83005,7.11086e-05,7.11086e-05,7.11086e-05
31,1049.27,0.41952,1.44329,0.92466,0.85808,0.63234,0.74591,0.71065,0.29783,1.26027,0.82848,6.7802e-05,6.7802e-05,6.7802e-05
32,1086.18,0.39828,1.45997,0.91043,0.85824,0.62986,0.75052,0.71401,0.2956,1.25572,0.82846,6.44954e-05,6.44954e-05,6.44954e-05
33,1120.48,0.37345,1.31608,0.88152,0.83761,0.63672,0.76543,0.72793,0.30019,1.2192,0.8269,6.11888e-05,6.11888e-05,6.11888e-05
34,1153.25,0.38213,1.33751,0.90028,0.85323,0.63829,0.76939,0.73877,0.2976,1.17705,0.82537,5.78822e-05,5.78822e-05,5.78822e-05
35,1188.89,0.39353,1.41645,0.90661,0.888,0.63025,0.77373,0.73933,0.29752,1.14572,0.82482,5.45756e-05,5.45756e-05,5.45756e-05
36,1224.01,0.38484,1.36917,0.89505,0.8738,0.62734,0.77401,0.74347,0.30224,1.13549,0.82651,5.1269e-05,5.1269e-05,5.1269e-05
37,1257.75,0.39471,1.2999,0.9034,0.85977,0.63885,0.77581,0.74195,0.29922,1.14396,0.82488,4.79624e-05,4.79624e-05,4.79624e-05
38,1293.03,0.36774,1.30988,0.88317,0.90506,0.61849,0.7653,0.73063,0.29633,1.12897,0.8252,4.46558e-05,4.46558e-05,4.46558e-05
39,1331.65,0.36531,1.28044,0.88349,0.90702,0.6088,0.77878,0.74334,0.29439,1.12978,0.82515,4.13492e-05,4.13492e-05,4.13492e-05
40,1367.15,0.36937,1.27992,0.8949,0.89195,0.62154,0.78266,0.74655,0.29193,1.11891,0.82413,3.80426e-05,3.80426e-05,3.80426e-05
41,1399.75,0.31029,1.25668,0.85069,0.89476,0.61684,0.77656,0.73989,0.2971,1.09597,0.82376,3.4736e-05,3.4736e-05,3.4736e-05
42,1435.88,0.29706,1.21549,0.84851,0.76698,0.72308,0.77316,0.73568,0.29952,1.08435,0.82256,3.14294e-05,3.14294e-05,3.14294e-05
43,1470.48,0.29426,1.22888,0.83277,0.77727,0.71066,0.78598,0.75161,0.29683,1.09226,0.82277,2.81228e-05,2.81228e-05,2.81228e-05
44,1504.41,0.29675,1.2676,0.83937,0.8044,0.67829,0.78602,0.75295,0.29371,1.08342,0.82225,2.48162e-05,2.48162e-05,2.48162e-05
